Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Material,Occasion,Pattern,Sole Material,Sustainable,Type,Warranty,BIS Certificate Image URL,BIS Certificate Number,BIS Expiry Date,Character,Contact Brand or Retailer for pre-sales product queries
BIRDE,Boys Self Design Clogs,₹599,MRP ₹1499,(Rs. 900 OFF),4.4,60 Ratings,"A pair of round toe green clogs ,has regular styling,
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Synthetic,Casual,Self Design,EVA,Regular,Clogs,,,,,,
WELCOME,Boys Black & White Printed Sliders,₹587,MRP ₹1199,(51% OFF),4.4,233 Ratings,"A pair of black and white printed sliders
Synthetic upper
Cushioned footbed
Patterned eva outsole",Synthetic,Casual,Printed,EVA,Regular,Sliders,,,,,,
Paragon,Kids Marvel Anti Skid Clogs EVMK8013K,₹549,MRP ₹999,(45% OFF),4.7,18 Ratings,"A pair of red printed sliders
Crosliteupper
Cushioned footbed
Patterned rubber outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Croslite,Casual,Colourblocked,Rubber,Regular,Sliders,1 month,,,,,
Liberty,Kids ALEX Printed Clogs,₹422,MRP ₹899,(53% OFF),4.4,1k Ratings,"A pair of teal blue & yellow printed clogs
Synthetic upper 
Cushioned footbed
Patterned EVA outsole",Synthetic,Casual,Printed,EVA,Regular,Clogs,,https://assets.myntassets.com/assets/images/2024/8/26/c1b7ee92-9a9a-4b37-8a85-867d37c4a72e1724648850398-Footwear_Decln_Myntra_090824-new_page-0001.jpg,1234567,31/07/2026,,
toothless,Boys Self Design Rubber Clogs,₹349,MRP ₹1399,(75% OFF),4.4,90 Ratings,"A pair of mustard and blue self design clogs
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Self Design,EVA,Regular,Clogs,,,,,,
BIRDE,Boys Applique Detailed Clogs,₹499,MRP ₹599,(Rs. 100 OFF),4.3,143 Ratings,"A pair of white Applique Detailed Clogs
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Self Design,EVA,Regular,Clogs,,,,,,
Kids Ville,Boys Mickey & Friends Printed Rubber Thong Flip Flops,₹359,MRP ₹399,(10% OFF),4.3,22 Ratings,"A pair of teal blue, yellow and red Mickey & Friends printed thong flip flops
Rubber upper material
Cushioned footbed
Patterned EVA outsole

Features:
Waterproof soft strap
PV patch logo pasting
Soft EVA sole for all day comfort
Soft & comfortable thong",Rubber,Casual,Printed,EVA,Regular,Thong Flip-Flops,,,,,Mickey & Friends,
toothless,Boys Self Design Clogs,₹489,MRP ₹1399,(65% OFF),4.4,89 Ratings,"A pair of blue self design clogs
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Self Design,EVA,Regular,Clogs,,,,,,
BIRDE,Boys Self Design Rubber Clogs,₹499,MRP ₹599,(Rs. 100 OFF),4.3,139 Ratings,"A pair of green self design clogs
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Self Design,EVA,Regular,Clogs,,,,,,
WELCOME,Boys Grey & Red Sliders,₹587,MRP ₹1199,(51% OFF),4.4,233 Ratings,"A pair of grey and red self design sliders
Synthetic upper
Cushioned footbed
Patterned eva outsole",Synthetic,Casual,Self Design,EVA,Regular,Sliders,,,,,,
max,Boys Self Design Clogs,₹349,MRP ₹399,(Rs. 50 OFF),4.4,87 Ratings,"A pair of grey and green self design clogs
Pu upper
Cushioned footbed
Patterned eva outsole",PU,Casual,Self Design,EVA,Regular,Clogs,,,,,,
Kids Ville,Boys Spider-Man Printed Sliders,₹599,MRP ₹999,(40% OFF),4,22 Ratings,"A pair of blue,red and black spiderman printed sliders
Rubber upper material
Cushioned footbed
Patterned rubber outsole",Rubber,Casual,Printed,Rubber,Regular,Sliders,,,,,Spider-Man,
Liberty,Kids Conversational Printed Clogs,₹476,MRP ₹899,(47% OFF),4.3,1.9k Ratings,"A pair of blue & green conversational printed clogs
Fabric upper
Cushioned footbed
Patterned eva outsole",Fabric,Casual,Printed,EVA,Regular,Clogs,,https://assets.myntassets.com/assets/images/2024/8/26/c1b7ee92-9a9a-4b37-8a85-867d37c4a72e1724648850398-Footwear_Decln_Myntra_090824-new_page-0001.jpg,1234567,31/07/2026,,
Kids Ville,Boys Spiderman Printed Rubber Thong Flip Flops,₹359,MRP ₹399,(10% OFF),4.4,11 Ratings,"A pair of black, blue and red Spiderman printed thong flip flops
Rubber upper material
Cushioned footbed
Patterned EVA outsole

Features:
Waterproof soft strap
PV patch logo pasting
Soft EVA sole for all day comfort
Soft & comfortable thong",Rubber,Casual,Printed,EVA,Regular,Thong Flip-Flops,,,,,Spider-Man,
Fame Forever by Lifestyle,Boys Self Design Rubber Clogs,₹559,MRP ₹699,(20% OFF),4.1,57 Ratings,"A pair of blue and grey self design clogs
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Self Design,EVA,Regular,Clogs,,,,,,
BIRDE,Boys Colourblocked Comfortable Sneakers,₹599,MRP ₹1499,(Rs. 900 OFF),4.3,57 Ratings,"A pair of round toe orange sneakers ,has regular styling,
Velcro detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Synthetic,Casual,Solid,EVA,Regular,Clogs,,,,,,
Liberty,Kids Conversational Printed Clogs,₹422,MRP ₹899,(53% OFF),4.4,1.6k Ratings,"A pair of black & white conversational printed clogs
Fabric upper
Cushioned footbed
Patterned eva outsole",Fabric,Casual,Printed,EVA,Regular,Clogs,,https://assets.myntassets.com/assets/images/2024/8/26/c1b7ee92-9a9a-4b37-8a85-867d37c4a72e1724648850398-Footwear_Decln_Myntra_090824-new_page-0001.jpg,1234567,31/07/2026,,
Paragon,Kids Marvel Anti Skid Clogs EVMK8013K,₹549,MRP ₹999,(45% OFF),4.4,8 Ratings,"A pair of blue printed clogs
Crosliteupper
Cushioned footbed
Patterned eva outsole
Warranty: 1 year
Warranty provided by brand owner/manufacturer",Croslite,Casual,Printed,EVA,Regular,Clogs,1 year,,,,,
toothless,Boys Printed Sliders,₹314,MRP ₹699,(55% OFF),4.1,134 Ratings,"A pair of blue and white printed sliders
Synthetic upper
Cushioned footbed
Patterned eva outsole",Synthetic,Casual,Printed,EVA,Regular,Sliders,,,,,Avengers,
toothless,Boys Self Design Clogs,₹359,MRP ₹1199,(70% OFF),4.7,57 Ratings,"A pair of navy blue and red self design clogs
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Self Design,EVA,Regular,Clogs,,,,,,
Pantaloons Junior,Boys Self Design Sliders,₹594,MRP ₹699,(15% OFF),4.6,27 Ratings,"A pair of grey and blue self design sliders
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Self Design,EVA,Regular,Sliders,,,,,,
Liberty,Kids ALEX Printed Clogs,₹422,MRP ₹899,(53% OFF),4.4,1k Ratings,"A pair of navy blue & grey printed clogs
Synthetic upper 
Cushioned footbed
Patterned EVA outsole",Synthetic,Casual,Printed,EVA,Regular,Clogs,,https://assets.myntassets.com/assets/images/2024/8/26/c1b7ee92-9a9a-4b37-8a85-867d37c4a72e1724648850398-Footwear_Decln_Myntra_090824-new_page-0001.jpg,1234567,31/07/2026,,
ASIAN,Boys Striped Rubber Sliders,₹461,MRP ₹599,(23% OFF),4.1,8 Ratings,"A pair of olive green and white striped sliders
Rubber upper
Cushioned footbed
Patterned eva outsole
Warranty: 28 days
Warranty provided by brand owner/manufacturer",Rubber,Casual,Striped,EVA,Regular,Sliders,28 days,,,,,
toothless,Boys Colourblocked Clogs,₹359,MRP ₹1199,(70% OFF),4.6,53 Ratings,"A pair of yellow and blue colourblocked clogs
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Colourblocked,EVA,Regular,Clogs,,,,,,
Liberty,Kids Round Toe Slip On Clogs,₹422,MRP ₹899,(53% OFF),4.4,1.6k Ratings,"A pair of green clogs
Fabric upper with slip-on closure
Cushioned footbed
Patterned eva outsole",Fabric,Casual,Printed,EVA,Regular,Clogs,,https://assets.myntassets.com/assets/images/2024/8/26/c1b7ee92-9a9a-4b37-8a85-867d37c4a72e1724648850398-Footwear_Decln_Myntra_090824-new_page-0001.jpg,1234567,31/07/2026,,
BAESD,Kids Printed Croslite Clogs,₹499,MRP ₹1999,(75% OFF),4.1,280 Ratings,"A pair of navy blue printed clogs
Croslite upper
Cushioned footbed
Patterned eva outsole",Croslite,Casual,Printed,EVA,Regular,Clogs,,,,,,
toothless,Boys Marvel Avengers Slides,₹329,MRP ₹599,(45% OFF),4.1,135 Ratings,"A pair of maroon and green printed sliders
Synthetic upper
Cushioned footbed
Patterned pvc outsole",Synthetic,Casual,Printed,PVC,Regular,Sliders,,,,,Avengers,
Liberty,Kids Conversational Printed Clogs,₹476,MRP ₹899,(47% OFF),4.3,1.9k Ratings,"A pair of green conversational printed clogs
Fabric upper
Cushioned footbed
Patterned eva outsole",Fabric,Casual,Printed,EVA,Regular,Clogs,,https://assets.myntassets.com/assets/images/2024/8/26/c1b7ee92-9a9a-4b37-8a85-867d37c4a72e1724648850398-Footwear_Decln_Myntra_090824-new_page-0001.jpg,1234567,31/07/2026,,
