Title,Name,Price,MRP,Discount,Rating,Ratings Count,Type,Toe Shape,Pattern,Fastening,Shoe Width,Ankle Height,Insole,Sole Material,Micro Trend,Warranty,Occasion,Number of Items,Package Contains,Technology,Ornamentation
HRX by Hrithik Roshan,Unisex Back To School Shoes,₹999,MRP ₹3699,(Rs. 2700 OFF),4.3,350 Ratings,Sneakers,Round Toe,Textured,Lace-Ups,Regular,Regular,Comfort Insole,EVA,Basics,1 month,Everyday,2,1 pair of shoes,,
U.S. Polo Assn.,Men White Clarkin Sneakers,₹1349,MRP ₹2999,(55% OFF),4.2,51k Ratings,Sneakers,Round Toe,Solid,Lace-Ups,Regular,Regular,Comfort Insole,Rubber,Basics,3 months,Everyday,,,,
Red Tape,Men Colourblocked Contrast Sole Sneakers,₹1619,MRP ₹5399,(70% OFF),4.4,21.6k Ratings,Sneakers,Round Toe,Colourblocked,Lace-Ups,Regular,Regular,EVA or Rubber,TPR,Contrast Sole,45 days,Everyday,2,,,
HRX by Hrithik Roshan,Unisex Back To School Shoes,₹999,MRP ₹3699,(Rs. 2700 OFF),4,33 Ratings,Sneakers,Round Toe,Textured,Velcro,Narrow,Regular,Comfort Insole,EVA,Contrast Sole,1 month,Everyday,2,1 pair of shoes,,
Red Tape,Men Perforations Mid Top Lace Up Sneakers,₹1769,MRP ₹5899,(70% OFF),4.4,4.1k Ratings,Sneakers,Round Toe,Perforations,Lace-Ups,Regular,Mid-Top,EVA or Rubber,TPR,Basics,45 days,Everyday,2,,,
Red Tape,Men Colourblocked Round Toe Memory Foam Sneakers,₹1889,MRP ₹6299,(70% OFF),4.4,912 Ratings,Sneakers,Round Toe,Colourblocked,Lace-Ups,Regular,Regular,Memory Foam,EVA,Basics,45 days,Everyday,2,1 pair,,
Red Tape,Men Sneaker,₹1979,MRP ₹6599,(70% OFF),4.4,1.2k Ratings,Sneakers,Round Toe,Colourblocked,Lace-Ups,Regular,Regular,Memory Foam,TPR,Basics,45 days,Everyday,2,1 pair,,
Red Tape,Men Perforations Sneakers,₹1679,MRP ₹5599,(70% OFF),4.4,12.6k Ratings,Sneakers,Round Toe,Perforations,Lace-Ups,Regular,Regular,EVA or Rubber,TPR,Basics,45 days,Everyday,2,,,
Red Tape,Men Solid Sneakers,₹2129,MRP ₹7099,(70% OFF),4.5,108 Ratings,Sneakers,Round Toe,Solid,Lace-Ups,Regular,Regular,Comfort Insole,TPR,Basics,45 days,Everyday,2,1 pair of shoes,,
Red Tape,Men Memory Foam Insole Sneakers,₹1679,MRP ₹5599,(70% OFF),4.4,16.7k Ratings,Sneakers,Round Toe,Perforations,Lace-Ups,Regular,Mid-Top,EVA or Rubber,TPR,Contrast Sole,45 days,Everyday,2,,,
U.S. Polo Assn.,Men White & Grey Colourblocked Sneakers,₹1499,MRP ₹2999,(50% OFF),4.3,29.2k Ratings,Sneakers,Round Toe,Colourblocked,Lace-Ups,Regular,Regular,Comfort Insole,Rubber,Basics,3 months,Everyday,,,,
Red Tape,Men Round Toe Lace Up High Top Sneakers,₹1769,MRP ₹5899,(70% OFF),4.4,4.1k Ratings,Sneakers,Round Toe,Perforations,Lace-Ups,Regular,Regular,EVA or Rubber,TPR,Basics,45 days,Everyday,2,,,
NEEMANS,Unisex Mesh Woven Design Lace-Ups Sneakers,₹1599,MRP ₹4199,(Rs. 2600 OFF),4.3,65 Ratings,Sneakers,Round Toe,Woven Design,Lace-Ups,Regular,Regular,Support Insole,EVA,Contrast Sole,3 months,Everyday,2,,,
HIGHLANDER,Men White Solid Leather Perforated Sneakers,₹696,MRP ₹1990,(65% OFF),3.8,8.7k Ratings,Sneakers,Round Toe,Solid,Lace-Ups,Regular,Regular,Comfort Insole,TPR,Basics,,Everyday,2,,,
Roadster,Men Brown Textured PU Sneakers,₹824,MRP ₹3299,(75% OFF),4,6.4k Ratings,Sneakers,Round Toe,Textured,Lace-Ups,Regular,Regular,Padded,TPR,Contrast Sole,1 month,Smart Casual,,,Lightweight,
HIGHLANDER,Men Slip-on Knitted Comfort Sneakers,₹826,MRP ₹1198,(31% OFF),3.7,9.8k Ratings,Sneakers,Round Toe,Woven Design,Slip-On,Regular,Regular,Padded,EVA,Basics,,Everyday,2,,Lightweight,
Red Tape,Men Colourblocked Round Toe Memory Foam Sneakers,₹1769,MRP ₹5899,(70% OFF),4.5,1k Ratings,Sneakers,Round Toe,Colourblocked,Lace-Ups,Regular,Regular,Memory Foam,TPR,Contrast Sole,45 days,Everyday,2,1 pair,,
Red Tape,Men Round Toe Sneakers,₹1769,MRP ₹5899,(70% OFF),4.4,2.3k Ratings,Sneakers,Round Toe,Solid,Lace-Ups,Regular,Regular,EVA or Rubber,EVA,Basics,45 days,Everyday,2,1 pair,,
U.S. Polo Assn.,U.S. Polo Assn Men Grey Solid Sneakers,₹1499,MRP ₹2999,(50% OFF),4.2,51k Ratings,Sneakers,Round Toe,Solid,Lace-Ups,Regular,Regular,Comfort Insole,TPR,Contrast Sole,3 months,Everyday,,,,
Red Tape,Men Colourblocked Sneakers,₹2009,MRP ₹6699,(70% OFF),4.4,245 Ratings,Sneakers,Round Toe,Colourblocked,Lace-Ups,Regular,Regular,Memory Foam,TPR,Contrast Sole,45 days,Everyday,2,1 pair of shoes,,
HIGHLANDER,Men PU Lace-Up Sneakers,₹517,MRP ₹1990,(74% OFF),4,17.5k Ratings,Sneakers,Round Toe,Solid,Lace-Ups,Regular,Regular,Comfort Insole,TPR,Contrast Sole,,Smart Casual,2,,,
Red Tape,Men Colourblocked Lace-Ups Sneakers,₹1679,MRP ₹5599,(70% OFF),4.4,12.6k Ratings,Sneakers,Round Toe,Colourblocked,Lace-Ups,Regular,Regular,EVA or Rubber,TPR,Basics,45 days,Everyday,2,,,
ZAYDN,Men Round Toe Memory Foam Sneakers,₹1409,MRP ₹2999,(Rs. 1590 OFF),4.4,42 Ratings,Sneakers,Round Toe,Solid,Lace-Ups,Regular,Regular,Memory Foam,PVC,Basics,,Smart Casual,2,1 pair of sneakers,,
Red Tape,Men Sneakers,₹1949,MRP ₹6499,(70% OFF),4.1,83 Ratings,Sneakers,Round Toe,Solid,Lace-Ups,Regular,Regular,Comfort Insole,PU,Contrast Sole,45 days,Everyday,2,1 pair of shoes,,
Sparx,Men White Solid Sneakers,₹594,MRP ₹849,(30% OFF),4.3,2.4k Ratings,Sneakers,Round Toe,Striped,Lace-Ups,Regular,Regular,Comfort Insole,EVA,Basics,3 months,Everyday,,,,
HIGHLANDER,Men PU Lace-Up Sneakers,₹569,MRP ₹1898,(70% OFF),3.9,1.2k Ratings,Sneakers,Round Toe,Solid,Lace-Ups,Wide,Regular,EVA or Rubber,Synthetic,Basics,,Smart Casual,2,,,
Red Tape,Men Sneakers,₹1979,MRP ₹6599,(70% OFF),4.5,916 Ratings,Sneakers,Round Toe,Colourblocked,Lace-Ups,Regular,Regular,Memory Foam,TPR,Contrast Sole,45 days,Everyday,2,1 pair,,
Red Tape,Men Sneaker,₹1979,MRP ₹6599,(70% OFF),4.5,2.6k Ratings,Sneakers,Round Toe,Colourblocked,Lace-Ups,Regular,Regular,Memory Foam,TPR,Contrast Sole,45 days,Everyday,2,1 pair,,
ASIAN,Men Boston-01Perforations Lace-Up Sneakers,₹749,MRP ₹999,(25% OFF),4.1,5.5k Ratings,Sneakers,Round Toe,Perforations,Lace-Ups,Regular,Regular,Padded,PVC,Basics,28 days,Everyday,2,,,
ASIAN,Men Colourblocked Sneakers,₹749,MRP ₹1499,(50% OFF),3.5,1.1k Ratings,Sneakers,Round Toe,Colourblocked,Lace-Ups,Regular,Regular,Memory Foam,PVC,Basics,28 days,Everyday,1,pair,Lightweight,
Red Tape,Men Colourblocked Sneakers,₹2009,MRP ₹6699,(70% OFF),4.4,247 Ratings,Sneakers,Round Toe,Colourblocked,Lace-Ups,Regular,Regular,Memory Foam,TPR,Contrast Sole,45 days,Everyday,2,,,
Red Tape,Men Round Toe Lace-Up Sneakers,₹1739,MRP ₹5799,(70% OFF),4.1,2.2k Ratings,Sneakers,Round Toe,Solid,Lace-Ups,Regular,Regular,Comfort Insole,Rubber,Basics,45 days,Everyday,,,,
Jack & Jones,Men Woven Design Mesh Sneakers,₹1934,MRP ₹4299,(55% OFF),3.7,69 Ratings,Sneakers,Round Toe,Woven Design,Lace-Ups,Regular,Mid-Top,Comfort Insole,EVA,Penny Loafers,3 months,Everyday,,,,
Red Tape,Men Memory Foam Insole Sneakers,₹1769,MRP ₹5899,(70% OFF),4.3,7.4k Ratings,Sneakers,Round Toe,Perforations,Lace-Ups,Regular,Regular,Memory Foam,TPR,Basics,45 days,Everyday,2,,,
Red Tape,Men Perforations Lace Up Sneakers,₹2309,MRP ₹7699,(70% OFF),4.5,3k Ratings,Sneakers,Round Toe,Perforations,Lace-Ups,Regular,Regular,Support Insole,TPR,Basics,45 days,Everyday,2,,,
Mast & Harbour,Men White Striped Sneakers,₹755,MRP ₹2699,(72% OFF),4,10.2k Ratings,Sneakers,Round Toe,Striped,Lace-Ups,Regular,Regular,Padded,Synthetic,Basics,1 month,Everyday,,,,
Red Tape,Men Solid ETPU Sneakers,₹1889,MRP ₹6299,(70% OFF),4,408 Ratings,Sneakers,Round Toe,Solid,Lace-Ups,Regular,Regular,Comfort Insole,TPR,Contrast Sole,45 days,Everyday,2,a pair of shoes,,
Red Tape,Men Perforations Sneakers,₹1679,MRP ₹5599,(70% OFF),4.4,8.7k Ratings,Sneakers,Round Toe,Perforations,Lace-Ups,Regular,Regular,EVA or Rubber,EVA,Basics,45 days,Everyday,2,,,
Red Tape,Men Colourblocked Sneakers,₹2009,MRP ₹6699,(70% OFF),4.4,245 Ratings,Sneakers,Round Toe,Colourblocked,Lace-Ups,Regular,Regular,Memory Foam,TPR,Basics,45 days,Everyday,2,,,
NEEMANS,Unisex Textured Lightweight Contrast Sole Lace-Up Sneakers,₹1359,MRP ₹3999,(Rs. 2640 OFF),4.2,186 Ratings,Sneakers,Round Toe,Textured,Lace-Ups,Regular,Regular,Support Insole,EVA,Contrast Sole,3 months,Everyday,2,,Lightweight,
U.S. Polo Assn.,U S Polo Assn Men Black Canvas Sneakers,₹1649,MRP ₹2999,(45% OFF),4.2,51k Ratings,Sneakers,Round Toe,Solid,Lace-Ups,Regular,Regular,Comfort Insole,TPR,Basics,3 months,Everyday,,,,
Red Tape,Men Memory Foam Insole Sneakers,₹1679,MRP ₹5599,(70% OFF),4.4,16.7k Ratings,Sneakers,Round Toe,Colourblocked,Lace-Ups,Regular,High-Top,EVA or Rubber,TPR,Contrast Sole,45 days,Everyday,2,,,
HRX by Hrithik Roshan,Men White Round Toe Memory Foam Lightweight Sneakers,₹1391,MRP ₹4799,(71% OFF),4.2,1.7k Ratings,Sneakers,Round Toe,Solid,Lace-Ups,Wide,Regular,Memory Foam,Phylon,Basics,14 days,Everyday,2,1 pair,Lightweight,
Red Tape,Men Perforations Lace Up Sneakers,₹2309,MRP ₹7699,(70% OFF),4.5,3k Ratings,Sneakers,Round Toe,Perforations,Lace-Ups,Regular,Regular,Support Insole,TPR,Basics,45 days,Everyday,2,,,
HIGHLANDER,Men Slip-On Knitted Comfort Sneakers,₹359,MRP ₹1198,(70% OFF),3.7,9.8k Ratings,Sneakers,Round Toe,Woven Design,Lace-Ups,Regular,Regular,Comfort Insole,PVC,Basics,,Everyday,2,,,
Flying Machine,Men Jerel 3.0 Sneakers,₹1429,MRP ₹2599,(45% OFF),4.3,1.3k Ratings,Sneakers,Round Toe,Solid,Lace-Ups,Regular,Mid-Top,Comfort Insole,Rubber,Basics,3 months,Everyday,2,,,
