Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Type,Toe Shape,Fastening and Back Detail,Pattern,Occasion,Ornamentation,Ankle Height,Sole Material,Warranty
BOYZ N GALZ,Girls Velcro Embellished Party Ballerinas Flats,₹714,MRP ₹1099,(35% OFF),4.6,8 Ratings,"A pair of gold-toned ballerinas
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Velcro,Embellished,Party,Bows,Regular,TPR,
BAESD,Girls Printed Velcro Ballerinas,₹624,MRP ₹2499,(75% OFF),4.6,28 Ratings,"A pair of pink ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Velcro,Printed,Party,Western - Embellished,Regular,TPR,
Marks & Spencer,Women Pink Ballerinas with Bows Flats,₹2009,MRP ₹2999,(33% OFF),4.3,93 Ratings,"A pair of pink ballerinas
Upper Material: suede
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Solid,Casual,Bows,Regular,PVC,
Van Heusen Woman,Studded Detail Pointed-Toe Mules,₹1974,MRP ₹2499,(21% OFF),4,44 Ratings,"A pair of black pointed-toe mules
Has regular styling and no backstrap 
With studded detail
Upper Material: PU
Cushioned footbed
Textured and patterned outsole",Mules,Pointed Toe,No Back Strap,Embellished,Casual,Western - Embellished,Regular,Resin,
BOYZ N GALZ,Girls Shimmered Party Ballerinas with Bows,₹746,MRP ₹899,(17% OFF),4,31 Ratings,"A pair of gold-toned ballerinas
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Embellished,Party,Bows,Regular,PVC,
BAESD,Girls Embellished Bellerinas,₹659,MRP ₹1499,(56% OFF),4.1,41 Ratings,"A pair of black pointed toe embellished bellerinas
Synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Velcro,Solid,Casual,Western - Embellished,Regular,PU,
BOYZ N GALZ,Girls Bow Embellished Ballerinas,₹749,MRP ₹999,(25% OFF),4.8,17 Ratings,"A pair of pink bow embellished ballerinas
Upper material: pu
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Embellished,Party,Bows,Regular,PVC,
Pantaloons Junior,Girls Embellished Open Toe Flats,₹764,MRP ₹899,(15% OFF),4.4,15 Ratings,"A pair of beige & pink embellished open toe flats
PU upper
Cushioned footbed
PU outsole",Open Toe Flats,Open Toe,Backstrap,Embellished,Casual,Western - Embellished,Regular,PU,
BOYZ N GALZ,Girls Embellished Mojaris,₹699,MRP ₹999,(30% OFF),4.8,14 Ratings,"A pair of white embellished mojari
PU upper
Cushioned footbed
Textured and patterned outsole",Mojaris,Round Toe,Slip-On,Embellished,Casual,,Regular,TPR,
Shoetopia,Girls Textured Open Toe Flats,₹799,MRP ₹1999,(60% OFF),4.6,12 Ratings,"A pair of gold-toned textured open toe flats
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Backstrap,Textured,Casual,,Regular,TPR,
BOYZ N GALZ,Girls Embellished Bow Detailed Ballerinas,₹749,MRP ₹999,(25% OFF),4,8 Ratings,"A pair of white textured bow detailed ballerinas
Synthetic patent upper
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Embellished,Casual,Bows,Regular,PVC,
Pantaloons Junior,Girls Embellished Round Toe Ballerinas Flats,₹759,MRP ₹799,(5% OFF),4.3,18 Ratings,"A pair of pink ballerinas
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Embellished,Casual,Western - Embellished,Regular,TPR,
Shoetopia,Girls Ethnic Mules Flats,₹699,MRP ₹1999,(65% OFF),4.1,93 Ratings,"A pair of black mules
Upper Material: suede
Cushioned footbed
Textured and patterned outsole",Mules,Pointed Toe,Zip,Solid,Ethnic,Western - Embellished,Regular,TPR,
Pantaloons Junior,Girls Embellished Ballerinas,₹710,MRP ₹899,(21% OFF),4.2,14 Ratings,"A pair of off white ballerinas
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Embellished,Casual,Western - Embellished,Regular,TPR,
Khadims,Girls Gold-Toned Open Toe Flats with Buckles,₹374,MRP ₹499,(25% OFF),4,258 Ratings,"A pair of gold-toned open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Round Toe,Buckle,Solid,Casual,Buckles,Mid-Top,TPR,
Shoetopia,Girls Twisted Strap Open Toe Flats,₹699,MRP ₹1999,(65% OFF),4.1,48 Ratings,"A pair of cream-coloured twisted strap open toe flats
Upper material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Backstrap,Solid,Casual,,Regular,TPR,
MINI KLUB,Girls Embellished Ballerinas Flats,₹649,MRP ₹1299,(50% OFF),2.4,7 Ratings,"A pair of black Embellished Ballerinas
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Embellished,Casual,Bows,Regular,PU,
El Paso,Women Open Toe Flats,₹829,MRP ₹2899,(Rs. 2070 OFF),3.9,2.5k Ratings,"A pair of nude-coloured open toe flats
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Open Toe Flats,Round Toe,Slip-On,Solid,Casual,Buckles,Regular,EVA,3 months
BAESD,Girls Embellished Ballerinas Flats,₹624,MRP ₹2499,(75% OFF),3.9,24 Ratings,"A pair of silver-toned ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Buckle,Embellished,Party,Western - Embellished,Regular,TPR,
Shoetopia,Girls Backstrap Open Toe Flats,₹799,MRP ₹1999,(60% OFF),4.2,46 Ratings,"A pair of pink open toe flats
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Buckle,Solid,Casual,,Regular,PU,
BAESD,Girls Embellished Party Anti Slip Sole Ballerinas,₹649,MRP ₹2499,(74% OFF),4.1,173 Ratings,"A pair of white ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole
Features:
Bellies For Girls Kids
Slip-ON Easy To Wear
With Rounded Toe
Anti Slip Sole",Ballerinas,Round Toe,Ankle Loop,Embellished,Party,Western - Embellished,Regular,TPR,
